country,pca1,pca2
Australia,-2.001893546,-0.238990041
Austria,-2.10742156,0.141706784
Belgium,-1.372883995,1.015729349
Brazil,5.419384789,-2.837363856
Canada,-3.189480528,0.432062008
Chile,3.190904849,0.412900652
Colombia,5.711359545,-2.927709623
Costa Rica,4.239585008,-1.280144248
Czech Republic,-0.684422396,-1.030467162
Denmark,-2.646478987,-0.591163032
Estonia,-1.179725161,-0.320127896
Finland,-3.240592424,-0.440839402
France,-1.231184662,0.94869659
Germany,-2.286672237,-0.110840615
Greece,1.836586022,4.45492716
Hungary,0.47061957,0.436275058
Iceland,-1.878363248,-3.401951548
Ireland,-2.029120308,0.520113637
Israel,0.66371929,-2.329060269
Italy,-0.207644161,2.234909074
Japan,-0.057762796,0.600938039
Korea,0.134559084,0.38662235
Latvia,0.968095762,-0.576934822
Lithuania,0.638122278,-1.137303754
Luxembourg,-2.749299296,0.727982595
Mexico,5.585298512,-1.780987301
Netherlands,-3.121840782,-0.244696425
New Zealand,-2.738262772,0.488372232
Norway,-3.521540933,-0.30256963
Poland,-0.033502735,0.410778744
Portugal,0.239576183,0.359009359
Russia,3.252629727,-0.689985135
Slovak Republic,0.150223551,0.580444745
Slovenia,-1.253733787,-0.553356545
South Africa,11.19358638,1.956357794
Spain,-0.134736804,3.919847241
Sweden,-2.523244022,-1.097770915
Switzerland,-2.926889643,-1.548125225
Türkiye,4.622085195,2.52097937
United Kingdom,-2.196515144,0.490755185
United States,-3.00312381,0.400979478
